polarity	sentence
1	Otimo excelente divertido Muito viciante bom dificil de pegar nozes coraçoes mas e muito legal divertido
1	Derp É muito bacano e tem bastantes níveis para quem gostar do gênero
-1	Nao consigo abrir o jogo no meu tablet ..depois do carregamento ele fecha e volta a minha area d trabalho..
1	Divertido Me faz lembrar o jogo ação & emoção... vale muito a pena...
1	parabens... mto bom o jogo..
1	Legal. Bom para passar o tempo
1	Bons gráficos, jogabilidade e uma interface bastante profissional para jogo de telemóvel. Recomendo.
-1	Nada have!!! Muito ruizinho,desistalei na mesma hora,nada de mais, vc fica ouvindo musica enquanto aparece uns botoes na tela pra vc aperta!!!um lixo,generico muito mal feito do guitariro!!!nao baixem!!!!
1	Bom d++ Ele  e  um otimo jogp de tatica vcs q gostam de desafios esse daqui e uma boa opçao de jogo tbm e um jogo muito legal recomendo p todos e dou 5 estrelas com muito prazer jogo d++
1	Otimo jogo Gameloft sempre fazendo os melhores jogos. Muito bom.
1	Daora Daora
1	Muito bom! Gostei muito, vai dificultando cada vez mais, parabéns !
1	Exelente Muito bom, simplesmente viciante.
1	Walkiria Esse jogo e muito bom
1	Excelente Cara este jogo vicia pode baixar que vão adorar, maior tensão os bichos quando estão perto pra te pegar.
1	bom Muito bom, assim lá 930.439.932
1	bom! Pena que não salva o jogo de onde para, mais assim que eu puder baixo a versão paga. :)
1	jho jho muito bom e facio de stala no galaxy ace
1	? Muito bom mesmo
1	Daora Mto bom recomendo
1	Perfeito,....
1	Muiito bom  )
1	Viciante Jogo bom de mais, rendimento caiu aos bocados no serviço hahahaha  )
1	D+ É muito bom esse jogo!!! Adoro, fico jogando a tarde inteira!
1	Vo testa Joguei esse jogo  click jogos achei dahora mais vo ver como eeeeee :D
1	excelente Muito bom...
1	Excelente Muito bom o jogo...rodou perfeitamente no meu Galax Sll...recomendo
1	Dani Melhor jogo do momento
1	Esse jogo e massa
1	Esse e o jogo!!! Muito bom cara pode comprar vale apena.
1	Exelente jogo Para quem gosta de dama   esse e um belo aplicativo adorei
1	Macacao Muito bom otimo para passar o tempo
1	Otimo Simples mais bem elaborado
1	Loko Agilidade , mto bom
1	Amei O meu já e adulto, muito bom, mas devia poder escolher o nome e Pou
1	Optimo jogo O melhor dos melhores
1	Mt bom Grande game recomendo
1	Estou tentando baixar, deve ser bom igual aos outros...
1	Muito bom Muito bom mesmo... único porem... necessita de wi-fi.
1	Muito bom e a um preco bastante equilibrado foi a minha melhor compra no android market relacao preco qualidade.Recomendo!
1	Perfeito Adorei, instalei varios jogos mas este foi o melhor.
1	Muito bom Tem jogos bem criativos e viciantes.otimo para passar o tempo.
1	Xperia pro mk16a ics Esse Jô e bom só poderia ser um pouco mais difícil.
-1	Achei que ia melhorar.. A cada duas atualizações, uma da bug em meu ace e nao funciona
1	Show Ia ser daora se tivese um pra comsoler xbod ou ps3
1	muito bom o melhor jogo para passar o tempo
1	5 estrelas Jogo excelente! Vale a pena baixar!!!
-1	Muito fácil Chato de tão fácil.
1	Bom Bons recursos
1	Ótimo Mas não vai ganhar 5 estrelas porque toda vez que vai iniciar, pede WiFi pra baixar uns arquivos. Samsung Galaxy SII Cyanogenmod 7.1
1	Savio Muito bom !!!!!!!!!!
-1	Bugado Não sei se foi apenas em meu aparelho, mas o joho está bastante bugado, sem falar nas mínimas interações com o jogo...
1	Bom To baixando aki mas já joguei . E um ótimo jogo
1	Galaxy s3 Nossa muito perfeito,graficos excelentes
1	Muito bom Depois do 3 esse é o melhor
1	Bom Bom jogo passatempo joia
1	Adorei. Este jogo
-1	Karina Agora pra pegar as coisas pra vender ta uma merda muito lento cheio de bug.. Antigamente tava bem melhor por isso mudei a minha estrala  Se melhorar eu coloco 5 novamente
1	Muito bom e totalmente grátis Otimo jogo, com diversas opções de fases e de verdade nso e necessário pagar nada ou instalar algo para avancar no jogo.
1	Sensacional Jogo muito divertido e sem falar que roda liso liso no meu Galaxy Note. Por ser um jogo gratuito ele é sensacional....
1	Excelente Jogo muito legal
1	O melho  jogo que eu ja jogei
-1	Desenvolvedores de bosta. Funcionava normalmente no atrix, mas agora comprei um S3 e esse jogo não funciona mais.
1	littles pet shop esse tipo de jogo  e muito legal esse tipo de jogo e irrado eu adoro pets .. eu amo nesse jogo ... omeu pai conproou o tablet para ele e eu nao largo o tablet ...
-1	Marizinha Horrivel trava toda hora!! Samsung galyx Tab 10.0
1	Show Muito bom, pelo menos no meu defy+
1	Mt bom Vale a pena.. virou meu jogo preferido.. mesmo pq são varios dentro de um só ..
1	otimo sei q ainda vai melhorar, mais ja é otimo bem proximo ao q deve ser...
-1	Trava toda hora Jogo até legal, mas trava toda hora qdo vc morre.
-1	Percimo Nao baixem vai travar no seu celular
1	Show de bola Esse jogo é irado galera, rodou bem no galaxy 5.
1	veronica tablet Muito bom e tem um grafica otimo
1	demais Amei  Amei  ainda to na fase 10
1	carlos Muito loko esse jogo
1	Divertimento garantido Para que gosta desse tipo de jogo será diversão para horas e horas, ou até abacar a bateria rs.
-1	Isso e uma bosta... gastei mais de horas pra baixa essa merda... e ate agora nao consegui.
1	Daora.. Ér bom..
-1	Roberta É orrivel,ñ recomendo.
1	Baixem muito legal Defy
1	Muito bom! Cara, a Rovio realmente se superou com esse jogo, está o máximo.
-1	Tranca demais Alem disso os saves nao fazem o loading, estava metade do jogo e perdi tudo. NÃO comprem.
1	Minhas escolhas Bom esse jogo ate que e legal!
1	Excelente E muito legal muito massa.
-1	A1 atualizacao nao funciona Nao funciona a1 a atualizacao no  s2
1	Muito bom! Roda muito bem no xperia play! Show de bola.
1	Bom jogo Chega de rabiscar as ultimas folhas do caderno.
1	Mt divertido!!!
1	Caralho vei  o jogo e muito bom
1	Muito bom Vale muito a pena!
1	Andre Grande jogo, vale bem o dinheiro.. Recomendo vivamente..
-1	Porcaria Nao baixem
1	Irado Mt bom esse jogo como o pessoal diz «viciante»
1	Muito bom! Muito bom mesmo!Viciei no jogo!
1	Gostei muito!!  ) Para passar o tempo eh otimooh >_<
1	Irado Caraca maluco sao muitos jogos
1	Adorei Meus pontos não saem de 100567
1	Legal Gostei jogo viciante
1	Otimo!! Muito bom mesmo , otimo!!
1	Muito criativo. Excelente jogo! Muito bom mesmo.
1	Leandro E muito louco d hora
1	Um dos melhores Cada vez mais desafiador. Roda muito bem em todos os meus dis1itivos.
1	Mto bom Mto bom viciante
-1	Ruim Nao consigo unir as paredes.
1	Muito show E maneiro o aplicativo zoei d+ meu pai fiquei embreagem kkkk
-1	Horivel Nao e compativel com o meu celular horivel
1	Gostei, otimo pra passar o TEMPO!!
1	Samsung galxy ace Mt bom esse aplicativo vale a pena add ae no face Leonardo Baldo  )
1	Eirado d+
1	Muito Bom App otimo, pequenos bugs mais nao atrapalha em nada. Recomendo baixarem. XD
1	Bom É bom ainda não tenho muita habilidade, mas é um jogo leve recomendo, para quem joga em celular.
-1	Travamento total Ter que desenhar e na hora de enviar aparece tantas propagandas que trava a ponto de ter de reiniciar.. se quiser se divertir com o App que antes era bom pague por ele.. detalhe tem que ter uns amigos pagante tbm. Zero..pra esse App last summer.. Ja foi bom.. agora (...)
1	é bom atualisar seria bom
1	Galaxy note Muito legal, ótimo passatempo! Recomendo.
1	Bom Muito bom. Com bons gráficos e boa jogabilidade
1	Muito bom... Legal, agora é a vez dos porcos agirem, kkkk, podem baixar é muito legal
1	Excelente Gostei muito do jogo, otimo passatempo
-1	Normal Fraco, sou mais o nfs shift... Esse nem vale a pena comprar
-1	Xoom2 No xoom2 a rotacao nao funciona muito bem, muito bugado.
1	Top O melhor jogo
-1	Lixo So pega com net...
1	galaxy y muito legal nao trava e exelente eu recomendo..
1	Mt maneiro
-1	Nao gostei!! Aqui nao o grafico ficou ruim e um bug na hora de alimentar!!
-1	Nao gostei Tem melhores angry birds esse naogostei muito nao
1	Adorei Ilumina bastante, muito util em lugares escuros pq nao precisa ficar mexendo no cel pra evitar a proteção de tela ou correr o risco de apertar o q nao deve pra manter o display ativo.
1	Otimo Song pop melhor jogo
1	O melhor O melhor jogo que ja baixei no google play nossa,os graficos são exelentes e a jogabilidade também!!!
1	E++++++++++++++++++ E excelente ess
1	Jsu Muito bao
1	Otimo excelente Omelhor do market Eu Nao recomendo Eu obrigo vc baixar O melhor de todos
1	Jogo muito bom e viciante. Atrix
1	denys. adorei o jogo... recomendo
-1	Fora do ritmo As notas não combinam com o ritmo da música, muitas vezes são atrasadas. Para quem é músico, só merece uma estrela.
1	Muito bom! Bem divertido e viciante, vale a pena o download, ainda mais que é grátis!
1	Destraçao boa...adolo xadrez
1	Bom Valee a pena pra qm curti jogos de futebol...eh perfeito mesmo muito bom...
1	Bom passatempo ! Gostei do jogo roda bem no lg optimus , só que pra melhorar o aeroporto tem comprar créditos .
1	Bacana Gostei muito...  Bem viciante
1	Legal No tablet roda muito bem!
1	Xperia U O jogo é ótimo eu recomendo à todos aproveite e divirtam se!!!
-1	Travando e sem res1ta do suporte Tá travando sem parar e o suporte nao resolve isso.
1	Divertido É o jogo que eu mais gosto, até hj não enjoei dele. Vale a pena baixar.
1	Matheus Esse jogo e show o melhor q ja joguei
-1	Galaxy y Esse jogo e uma merda so  fica travando nao baixem
1	Muito bom Só não dou 5 estrelas porque as vezes o touch não é muito preciso, mas muito bom o jogo
1	Samuel Mtooo bomm..adorei jogo...
1	Thunder Roda bem no galaxy 5.
-1	nao dá no meu tmn smart a7 não da , não é compativel , mas eu quero este jogo !
1	Legal. Muito bom
1	Adoro Já era bom! Em português só ficou melhor. Espero que as palavras demorem a se repetir.
1	Legal Muito bem bolado
1	Bom pra passar o tempo Pequeno e viciante....
1	foda vei game maneiro e viciante
1	João Pita Muito bem, sempre a actualizar com novos níveis!
1	Excelente Joguinho muito viciante recomendo
1	Top Com certeza um dos melhores jogos para android, mas tem que ter um celular muito bom para rodar,mas baixem e ótimo
1	Muito bom, recomendo!
1	Viciante Bobinho mas viciante, otima distraçao.
-1	Fraco Muito ruim o sistema direcional.
1	Um dos melhores Atualmente tenho pouca paciencia pra jogar jogos, mas esse eh dificil de parar quando se começa. Viciante, simples e leve. Parabens aos devolupers.
1	Muito bom O jogo é muito bom eu recomendo.
1	Perfeito s3 Melhor jogo do Android até agora, não deve nada para os consoles... Roda lindo!
1	Feliz da vida Amei esse jog
1	Renan Otimo caralho.
1	Muito bom 5 star
-1	Galaxy Ace Duos Travando,e sumindo os ícones do game
1	Galaxy ace Mt zica loko daora e recomendo
-1	Trava no BQ Kepler2 A1 ultima atualizacao no meu BQ Kepler2 continua a falhar no arranque do jogo. Fica com ecra -1ro e sai.
1	genesis tab Muito bom,recomendo
1	Adorei tem varias perguntas PORRETA
-1	Seria perfeito.... Seria perfeito se funciona se,no funfa ta dando erro...
1	O MELHOR
1	Mt bom Mt bom o ruim e q em vez em qndo as cartas n obedecem
1	Muito bom Otimo passatempo pros meus filhos
1	Mto bon Jogo muito bom para passar o tempo
1	Otimo App bom , recomendo esse jogo.
1	Da hora Eu gostei bastante.  Mais tipo neem parece que vs ta jogando sabe? ! Mais er da hora :)
1	Lg p350 Muito bom, um ótimo jogo, recomendo a todos
1	Legal O jogo e demais
-1	Muito sensivel Vc deixa o celular reto e le vira sozinho no lg pf 350 nem da para começar a jogar
1	Muito legal recomendo nota 10 esse jogo
1	Claydir Muito fera esse jogo, so complik um pouco antes d baixar, pq tem q ta num rede wifi, mas fora isso muito show o jg. Tem q ter 10 estrelas pra ele...
-1	Não é brincadeira É a uma bela de uma porcaria
1	Muito bem elaborado...
1	Racquel Eu adorei esse jogo,ficou otimo no meu tablet android
1	Isaque alves E muitoto bom e excelente p/ passar o tempo so brincando.....
1	muito bom viciante !! muitas fases !!
1	Muito bom Ainda bem que e gratis.
-1	Nem sequer abriu no meu pascal 2 com android 4.0.3 Deve ser bom como os outros mas enquanto nao corrigirem o bug nao 1so dar outra classificacao.
1	Jogo Bom...
1	Excelente RPG!!Vale a pena conferir o 1 e o 2 tb!!!
1	Muito bom Muito bom jogo roda perfeito no meu Sony Ericsson neo  v
-1	Demora carregar
1	Ótimo Legal demais!
1	Muito bom Fantastico ... Adorei
-1	Mensagem ja me enxeu Desinstalando este otimo jogo apenas por uma mensagem insuportavel que nao tem como tirar...parabens aos desenvolvedores que ao tentar nos incentivar a jogar acabaram nos irritando com esse aviso imbecil e sem cabimento.
1	 -) Pode se considerar um bom jogo,simples e com boa jogabilidade
-1	Chato Nossa que besteira so piada sem risada que e chato
1	Andrezinho Muito bom o jogo dá para distrair...
1	Comentario Rodou perfeitamente no meu galaxy S3. Jogabilidade facil e simples assim como todos os controles do jogo recomendo ^-^
1	:D Muito bom de todos o melhor
1	Ate q é bom Da pra passar um tempo
-1	Renato, funcionamento Comprei o jogo ja alguns meses, funcionou normalmente, mas agora nao funciona mais, nao abre mais, informa que para a validação da licença, uma versão oficial e conexão de rede (wi-fi, 3g, edge, gprs...) ja conectei com todos  nada, abre no googlo play e pede para abrir ou desinstalar. O que eu poço fazer.
1	Vicia Bem bolado
1	Ferreira Muito legal esse jogo!
-1	E daorina
1	Bom Bom jogo bem realistico
-1	Trava Tenho um galaxy s2 mas esse aplucativo demora muito pra abrir
1	Bom Interessante essa forma de conseguir novos jogos
1	Ótimo! Excelente! Vício total!
1	Muito bom o jogo. Muito viciante, e roda perfeito no Arc S!!
1	! Excelente jogo de futebol, não fica nada a desejar em relação ao PES e ao FIFA! E o melhor de tudo é grátis....grátis, mas...heehee, você não para de receber notificação na barra de notificações do sistema É um saco isso!
-1	Esse jogo é um coco, é uma merda
1	top Achei 10 e recomendo :-)
1	G5-Droid 2.2 D+++++ muito legal o jg...um bom gráfico... e jogar com o sensor é show de bola...eu estava a procura de um jg assim.... Parabéns aos desenvolvedores... Podem baixar!
1	MT legaal Gente baixem é mto legal viciante!!!!
-1	Golpe...não funciona...cuidado...perdi dinheiro... Pela segunda vez eu fui tarifado e não funcionou no Xperia play...cuidado não tem licença...
1	Muito bom Fantastico   Gosto Muito
1	Muito bom esse jogo,pena que são poucas fases.
1	Mt bom grande jogo!
-1	Demora pra caramba pra entra nem pega uma 1ta perda de tempo
1	Igual o face Muito bom! Viciante.
1	Muito bom Esse jogo e muito bom e viciante...
1	Nickoly Samsung galaxy s2  Esse jogo é só pra quem não tem nada pra fazer!!! Mas é legal!!! Eu gostei!!!
1	É muito legal  da de 10 a0 no salve os pásaros
1	Caah Mto bom o jogo..porem precisa de algumas atualizaçoes.
1	Muito divertido Indico a todos.
1	Dalyra Bom passa tempo !
1	O melhor!!! O melhor jogo de corrida para Android que joguei!!!
1	Excelente Pratico rápido leve
-1	Péssimo O idioma nem é o pior dos problemas e sim o touch, a menina mal vira e pula, aff, aguardo atualizações
1	Excelente Bem legal o jogo
1	Marcos'Marques Ótimo para passar tempo. Jogo muito qndo estou sen fazer nada no estágio :P
-1	Ridículo Depois de nos registrarmos da erro NÃO BAIXEM
1	Muito bom, as vezes trava mas roda bem no motorola charm
-1	Uma merda Nao perca seu tempo
-1	Não permite save ! A versão gratuita não permitiria save state, até aí tudo bem. Acontece que também não é 1sível salvar os jogos da maneira convencional ! Quando o app é reiniciado, tudo some. (Teste com rom de Chrono Trigger em um Nexus S )
1	Legal Dar para passar uns minutos
-1	O app e nao e muito legal que graça a tela fica qbrada mais facil eu joga no chão app see, noção!
1	Como as outras pessoas ja falaram.esse jogo e viciante.
1	Nexus 7 Muito bom!
1	Bom demais Minha namorada disse que um joguinho desse no transito é uma beleza kk é muito bom esse app
1	Este aplicativo é otimo ele é muito legal
1	O melhor app até o momento de xadrez Acabei de vencer o último nível, comecei do 1 venci até o 10. Demorei um tempão pra conseguir mas valeu a pena! Excelente app!
-1	Nao baixa no galaxy 5 Falta Espaço
1	otimo adorei muito loco
1	Boon di + Esse jogo e um dos melhores qe ja baixei athe hoje namoral viciante mané
1	Ameii...yara Yara....Muito massa mesmo ! Tou viciada...e recomendo! Podem baixar, vc nao vaai se arrepender!
1	muito bom muito bom mesmo
1	Muito bom. !!!
1	Muito bom! Jogo 5 estrelas!  Espero a atualizacao...
-1	Uma bosta.. Não percam tempo...
-1	Atualizou e diz que tem espaço insuficiente agora essa merda Ta loco, acabaram com o app
-1	Essa desgraça não roda.
-1	Buguento!!! Trava demais!!!!
-1	Trava no defy Após colocar login e senha o aplicativo trava e fecha. Meu telefone é um Motorola defy
-1	Samsung Galaxy Y Duos Não está abrindo o aplicativo. Dá force close durante o carregamento do mesmo.
-1	Andrius Ccaralho essa porra e uma bosta
-1	Merda Essa merda so tem o carinha q fica.correndo e pulando dos raios nao tem mais nada alem disso e alem,do mais quando a pessoa compra alaguma coisa nunca e permanente enfim nao instalem
-1	Fraco N gostei e so aquilo nao tem um objetivo...
-1	É uma bosta O jogo é muito ruim uma bosta
-1	Regular Se vc procura um jogo de verdade, nao baixe esse pq é uma bela merda! Apenas graficos legais, o resto um lixo! Vou aguardar o Pes 2013.
-1	Liiixxxooo Afff nem baixem jogo muito ruimmm
-1	Uma  bosta
-1	Orrivel...comentando so pra ganhar diamantes no outro jogo Merda esse jogo... To comebtando so pra ganhar diamantes em outro jogo
-1	Ruim Instalei duas vezes e nao funciona no meu optimus 3d. Demora muito para baixar os arquivos.
-1	Bugou Bugou fica na tela get ready gs2
-1	Trava muito No optimus black, o loadscreen sempre perde o login com o facebook sem nenhuma razão e congela. Além disso, não tem opção de parar um jogo em andamento, e os jogos não são ao vivo - o jogo fica muito estático. Tem muito pra melhorar.
-1	O ruim dele e que bola se locomove mui rapido, desinstalei!
-1	Pessimo nao funciona no tablet.nao instalem nao recomendo...horrivel!!!
-1	Solução Jááá! PESSOAL DA ROVIO KD VCS? TODOS ESPERANDANDO UMA SOLUÇÃO PELA ÚLTIMA FRACASSACA ATUALIZAÇÃO.  QUEREMOS JOGAAAAAAAR! !!!!!!!!    :-)
-1	Aff isto é uma merda Não merece uma estrela
-1	Mt ruim no Spice, e parece ter bug no giro do volant não recomendo tem que melhorar a compatibilidade com os aparelhos... :x
-1	White Precisa melhorar..
-1	Socorro! Comprei o jogo e ele diz que não roda no meu galaxy Nexus. Alguém sabe porque?
-1	Muito ruim È uma bosta não funciona!
-1	lixo totalmente lixo
-1	A Nao presta por q faze jogo  assim
-1	Precisa melhorar !!! Mto ruim nem funciona as fazes.Da um jeito nisso...
-1	Merda Essa merda fica travando no galaxy s i9000b. Eu achava que todos os jogos deveriam ter especificado qual celular roda e nao roda os jogos.
-1	nao pega baixo tudo atualuzo e n pega
-1	N fas nem baixa essa merda mut grand
-1	Antes rodava Antes esse jogo rodava no meu celular mas agora nem inicia!(fica tudo preto e trava)
-1	Tati Péssimo gráfico, feio para jogar!
-1	Leg do k7 No inicio estava tudo bem mas emtao essa porra travo he uma merda do caraio
-1	Essa merda não abre
-1	Grafico bom jagabilidade pessima No meu SE live with walkman nao da para fechar consome muita ram entao nao recomendo o grafico e bom mas nao vale apena baixar 127mb jogabilidade em multitouch e orivel
-1	Jogo sem graça ... precisa mas de tecnologia avançada ...
-1	E legal mais no 2 nível o meu xperia x 8 renicia parece que tem vírus deve ter e quando ele liga eu tento entrar no jogo e novamente desliga novamente
-1	Esse foi o segundo pior aplicativo q eu vi LGP500H
-1	Perda de tempo Demora mais que sei lá o quê
-1	Este jogo rada muito lento.          Nomel celula
-1	Pensei que fosse bom.
-1	Tenso. O produtor fala ke tem graficos suaves mas o jogo eh lixao e os efeitos sonoros sao horriveis
-1	Uma bosta Nao funciono no meu galaxy y, baixei u programa 3d e nada, dinhero jogado forra. Pora ROCK STAR GAMES ve se arrumao isso, ou devolvam meu dinheiro.
-1	Fffff Ta a instalar a crl demora por volta de meia hora no galaxy s nao e nenhum mini. Este jogo e uma shit pa intalar
-1	O arquivo do pacote é invalido Dando erro ao tentar instalar.
-1	Está com delay Res1ta do toque, ou seja, corte da lamina esta com atraso no Galaxy SIII.
-1	Porcaria!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
-1	Essa merda nao funciona
-1	Não funciona Não funciona mais depois que atualizei. Carrega e em certa parte fecha sozinho.
-1	nao tao bom nao eh tao bom quanto parece
-1	Nao touch n funciona no meu galaxy e pelo visto, em muitos outros também n funciona. :(
-1	Horrivel Trava demais. Não consigo entrar para jogar.
-1	Não funciona no galaxy ace Triste comprar e não poder jogar, detalhe que o pirata funciona....
-1	Nada a ver Esse jogo e podre uma merd........agente so perde tempo baixando
-1	Mto ruim!! Demora muito pra nascer e depois eh bem chatinho..
-1	Sugiro q procurem outra coisa... Optem pelo subway surfers!
-1	Nao vale a pena No comeco eh bom, mas parece q nao foi desenvolvido na mesma dedicacao, pois no final tem muito bug...
-1	nao presta em celular nenhum nqo perque tempo baixando
-1	TNC Jogo ruim da porra vc nem meche em nada
-1	Essa coisa nen entra serio naoooooooo baixen isso
-1	Merda de jogo Nem consigo baixar esse jogo lixoso.
-1	Tá ruim tem q melhorar Olha o Zenonia3 e muito bom n tem bugue roda sem frescura neunha eu queria q o 5 fosse assim tabem manda aí uma atualização aí pra melhora e conserta os erro do zenonia 5 obg só uma estrela pq e obrigado
-1	Não funcionou Para mim não funcionou - tenta abrir, congela um pouco e aborta.
-1	Ele nao e bom Tem um grafico orrivel
-1	Não fuunciona Jogo fica com uma exclamacão e não funciona.
-1	Horrível De bomberman só tem o nome... Péssima tentativa de imitar o verdadeiro bomberman.
-1	TRAVA Aff' nao roda no meu tablet :/
-1	Não baixem Não baixem vão perder o tempo..
-1	Problema... Nao roda direito no galaxy S3... trava direto... as formigas ficam transparente... mais alguem com esse problema???
-1	q merda e ruim pra caramba nao recomendo nem da pra joga
-1	O jogo não pego Ki raiva esse jogo não pegou como que eu faso pra devolve
-1	Ruim Nao funciona no g5.
-1	Péssimo N  baixem
-1	Nao é muito bom É nao é bom é ruim
-1	Não consigo utlizar Ao iniciar aparece uma mensagen dizendo que ocorreu um erro na rede,ja verifiquei a internet e utilizei outras e aperece a mesma coisa,o unico problema é que paguei R$ 14,06.
-1	Atualizacao fudeu Porra, desde que eu atualizei essa merda deu pau na porra toda...jah tah umas 12h falando que o jogo tah em manutencao e que eh pra voltar daki a 30 min.....
-1	Aqui nao aparece nada
-1	Péssimo! Uma porcaria!
-1	Isso é uma carniça.
-1	No atrix, trava no começo da segunda missão...
-1	Bug N consigo mais logar pelo facebook.
-1	Que jogo horrível!
-1	Quem fez est bosta... Uma porcaria :-@
-1	Fraco Poderia ser melhor, mal dá pra controlar carro e de repente ele para...
-1	Não gostei, vou desinstalar eu estava mega empolgada com o jogo, mas quando chegou na fase 33 ele travou e travou meu galaxy s ii.
-1	Não rodou no Milestone 2 Não rodou no meu milestone 2. Tentei entrar em contato c/ produtora via market até agora nada. Na hora de verificar a licensa dá um force closure.
-1	Lixo plagio Imitaçao so gravity guy. Grafico lixo este
-1	Pessimo!!! Pra começar nem abre.
-1	Isso e um cu nao quer baixar tablet moxpad731
-1	Não eh muito bom pk ele ta travando meu XT300
-1	Mais um bug!!!!! Nao entendo o que ocorre!!! Tenho todos os meus avioes quebrados!! Nenhum esta sendo arrumado e mesmo assim ele fala que nao tem espaco para arrumar!!!! Isso e um bug ou tenho que comprar algo para arruma-los?????
-1	Péssimo Eu odiei este jogo!
-1	Iludindo o cliente Isso que esta acontecendo e um desrespeito as pessoas que vem baixar o jogo e aparece videos do you tube se nao e jogo porque ta listado como jogo
-1	E Não é muito legal não
-1	Ñ funciona no galaxy y Aparece a tela de carregar o jogo e logo a1 o jogo fecha automaticamente... Vou colocar esse jogo na justiça pq roubaram meu dinheiro...
-1	Galaxy SII No galaxy SII não tem opção de sair somente consegui pelo gerenciador de tarefas
-1	Fudeu Não é tão bom
-1	Ruim Nao consigo baixar so da erro
-1	Graficos O jogo é capado graficamente pra tegra 2 ou ta bugado aqui? Graficos do ambiente tosoco, embaçado, e não tem efeitos como os reflexos q vi nos videos...
-1	Defy 525 Funcionou aqui so que fecha do nda.
-1	Um lixo Nem percam tempo
-1	Muito ruim ele não pego no meu galaxy pockt q raiva !!
-1	Vou desinstalar Incomoda mto os anuncios .
-1	Parou de funcionar depois de um upgrade Insiste em usar a rede a cada vez que é executado e agora travou aí!
-1	Galaxy ace Precisa de muito dinheiro
-1	Não abre. Pois é :/ Comprei o jogo e nem sequer abre.
-1	Mauzito Muito básico e com péssima qualidade de gráficos
-1	Até q e legalzinho Ficou a alocando memória de outras apps. Além e não ter várias opções do original
-1	insatisfeito! COMPREI O JOGO, FUI ABRIR PEDIU PRA FAZER O DOWNLOAD. DEI INICIO E DEU ERRO, JA FIZ ISSO MUITAS VEZES. JÁ DESINSTALEI E TUDO! O QUE DEVO FAZER????????? EMAIL:  leosurf_14i@hotmail.com
-1	Não funciona Fechou sozinho ao abrir o jogo, não funcionou no g
-1	Essa merda nao entrou!!!! Lixo
-1	Bug Após reiniciar, funcionou normal, e voltou a fechar. não instalem ainda.
-1	Esse jogo ateh abre, mas na hora de jogar ele trava..
-1	ultima atualização sinceramente achei uma bosta essa ultima atualização,
-1	Depois da atualização, ficou horrivel no GS! Trava muito!
-1	Uma palavra LIXO.
-1	Muita propaganda Fica im1sível jogar com tanta propaganda.
-1	Muito pesado, prefiro o fruit slice
-1	Lixooooo Além de não pegar trava meu celular todo,ou seja,uma porcaria
-1	Merda Coco so trava mano
-1	Não da! Que difícil...
-1	Não roda Não funcionou no meu Galaxy S3. Quando eu abro o jogo a tela fica preta um tempinho e volta pro menu de aplicativos, sem mensagem de erro nem nada.
-1	Não baixem essa porcaria é só mais uma forma deles ganharem dinheiro nas custas dos outros.
-1	Horrivel O touch nao funciona no samsung galacy ace!!! É uma verdadeira DROGA!, E olha que eu ja paguei tudinhoooo
-1	Só trava Nao passo de 3 bombas e o jogo ja abre uma propaganda e trava... Tem muito a melhorar.
-1	Péssimo Não roda de jeito nenhum, toda hora trava
-1	Sinceramente? Uma bosta.
-1	Grande merda. Não consegui jogar uma fase porque essa porra fica travando.
-1	Bom Pior o meu que nem abre ,ja dasistalei e instalei rovio por favor ajeitem
-1	Uma porcaria... não abre...SG551
-1	bmx boy isso não tá bom tá dando um legue da porra
-1	Não roda no galaxy Tab 7 Não roda no galaxy Tab 7 tab plus
-1	No tablet não pega fica travado em uma tela preta
-1	O jogo trava muito  não é bom tive que desenstalar
-1	Ruim Uma porcaria
-1	Não gostei, uma porcaria..
-1	lamentável Assim como a maioria dos jogos gameloft este tb ñ funciona corretamente.  trava todo o aparelho e me obriga a reiniciar.  sem falar que o jogo não salva o progresso automaticamente  , sempre que passo varias missões o jogo recomeça do zero...  bem que esses produtores da gameloft poderiam ter umas aulas com os produtores da rockstar e da EA mobile pra aprender a fazer jogos kkk ....  decepçao,  lamentável! Agora após a atualização nem abre mais . Não compro mais da gameloft. caloteira  FCK  U !!!
-1	Samsung Galaxy Y jogabilidade um pouco ruim!
-1	S2 No meu nem abre
-1	Mt horrivel!  N percam tempo
-1	Problema na instalação O sistema afirma que não há espaço para armasenamento no dis1itivo, mesmo havendo vários gigas livres....
-1	Ñ gostei Ñ gostei é chato
-1	Trava Nao completa o dowload e quando tento salvar o jogo ele trava
-1	Um saco N achei interessante além disso pede uma forma de pagamento e na descrição disse q é gratis
-1	Nem consigui joga N consegui joga
-1	Lixo Para de funcionar do nada
-1	Horrivel ! Aff .. Pense em um jogo chato ! Perdi tempo baixando essa droga !
-1	Trem  ruim esse jogo ele nao baixa
-1	Reinaldo Muito pessado
-1	Ruim Controlabilidade ruim, fantasmas ficam travados.
-1	Um cu Não pode gravar é uma vista ese treco pita que pátio vai se fude quem inventou ese minecraft não tem vergonha na cara
-1	Ruinzinho esse jogo, bem sem graça
-1	O mercado naum abre de jeito nenhum.. So dah pra olhar o time, mas vender ou comprar, nd!
